round,task,_software_family,latency_us_n,latency_us_median,latency_us_q10,latency_us_q25,latency_us_q75,latency_us_q90,latency_us_min,latency_us_max,latency_us_iqr,latency_us_low_n
v1.2,AD,X-CUBE-AI,3,3430.0,1670.0,2330.0,4345.0,4894.0,1230.0,5260.0,2015.0,True
v1.2,IC,OTHER,1,33370.0,33370.0,33370.0,33370.0,33370.0,33370.0,33370.0,0.0,True
v1.2,IC,Qualcomm AI Stack,1,150.0,150.0,150.0,150.0,150.0,150.0,150.0,0.0,True
v1.2,IC,Syntiant SDK/TDK,2,10545.0,6205.0,7832.5,13257.5,14885.0,5120.0,15970.0,5425.0,True
v1.2,IC,UNKNOWN,12,143215.0,47520.0,79020.0,225072.5,455153.0000000001,8480.0,1522070.0,146052.5,False
v1.2,IC,X-CUBE-AI,3,111070.0,54886.0,75955.0,138100.0,154318.0,40840.0,165130.0,62145.0,True
v1.2,IC,self-developed,1,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,0.0,True
v1.2,KWS,Qualcomm AI Stack,1,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,True
v1.2,KWS,Syntiant SDK/TDK,2,2925.0,1769.0,2202.5,3647.5,4081.0,1480.0,4370.0,1445.0,True
v1.2,KWS,UNKNOWN,8,46365.0,11321.0,17892.5,61032.5,186937.99999999994,3460.0,474610.0,43140.0,False
v1.2,KWS,X-CUBE-AI,3,29060.0,14868.0,20190.0,36125.0,40364.0,11320.0,43190.0,15935.0,True
v1.2,VWW,Qualcomm AI Stack,1,190.0,190.0,190.0,190.0,190.0,190.0,190.0,0.0,True
v1.2,VWW,Syntiant SDK/TDK,2,8410.0,4962.0,6255.0,10565.0,11858.0,4100.0,12720.0,4310.0,True
v1.2,VWW,UNKNOWN,9,119830.0,37686.0,57250.0,180510.0,571382.0000000002,13390.0,1414430.0,123260.0,False
v1.2,VWW,X-CUBE-AI,3,59280.0,30896.0,41540.0,74105.0,83000.0,23800.0,88930.0,32565.0,True
v1.2,VWW,self-developed,2,60285.0,12289.0,30287.5,90282.5,108281.0,290.0,120280.0,59995.0,True
v1.3,AD,Qualcomm AI Stack,1,68.3762,68.3762,68.3762,68.3762,68.3762,68.3762,68.3762,0.0,True
v1.3,AD,X-CUBE-AI,3,4793.68,3526.304,4001.57,5101.72,5286.544,3209.46,5409.76,1100.15,True
v1.3,AD,self-developed,2,526.6595,358.2943,421.43125000000003,631.88775,695.0247,316.20300000000003,737.116,210.45649999999995,True
v1.3,IC,OTHER,1,50082.6,50082.6,50082.6,50082.6,50082.6,50082.6,50082.6,0.0,True
v1.3,IC,Qualcomm AI Stack,1,95.81620000000001,95.81620000000001,95.81620000000001,95.81620000000001,95.81620000000001,95.81620000000001,95.81620000000001,0.0,True
v1.3,IC,Syntiant SDK/TDK,2,10548.475,6207.255,7835.2125,13261.7375,14889.695,5121.95,15975.0,5426.525,True
v1.3,IC,X-CUBE-AI,3,165673.0,120729.0,137583.0,174060.5,179093.0,109493.0,182448.0,36477.5,True
v1.3,IC,self-developed,2,1630.0205,1107.8049,1303.63575,1956.40525,2152.2361,977.251,2282.79,652.7695000000001,True
v1.3,KWS,OTHER,1,16531.1,16531.1,16531.1,16531.1,16531.1,16531.1,16531.1,0.0,True
v1.3,KWS,Qualcomm AI Stack,1,64.9515,64.9515,64.9515,64.9515,64.9515,64.9515,64.9515,0.0,True
v1.3,KWS,Syntiant SDK/TDK,2,2924.295,1770.0030000000002,2202.8625,3645.7275,4078.587,1481.43,4367.16,1442.8649999999998,True
v1.3,KWS,X-CUBE-AI,3,43417.9,31879.420000000002,36206.350000000006,45860.05,47325.34,28994.800000000003,48302.2,9653.699999999997,True
v1.3,KWS,self-developed,2,985.2995000000001,658.2430999999999,780.88925,1189.70975,1312.3559,576.4789999999999,1394.1200000000001,408.82050000000004,True
v1.3,VWW,OTHER,1,37177.5,37177.5,37177.5,37177.5,37177.5,37177.5,37177.5,0.0,True
v1.3,VWW,Qualcomm AI Stack,1,114.248,114.248,114.248,114.248,114.248,114.248,114.248,0.0,True
v1.3,VWW,Syntiant SDK/TDK,2,8411.465,4962.557,6255.8975,10567.032500000001,11860.373,4100.33,12722.6,4311.135000000001,True
v1.3,VWW,X-CUBE-AI,3,89437.4,65300.520000000004,74351.85,94086.79999999999,96876.44,59266.3,98736.2,19734.949999999983,True
v1.3,VWW,self-developed,3,2183.08,609.5928,1199.6505,3315.77,3995.384,216.221,4448.46,2116.1195,True
