system_id,round,task,cluster_id,cluster_class,cluster_rank,latency_us,energy_uj
0.7-2008,v0.7,KWS,1,C3,3,81846.5,4422.68
0.7-2008,v0.7,AD,1,C3,3,8553.73,437.442
0.7-2008,v0.7,VWW,1,C3,3,248509.0,13316.4
0.7-2008,v0.7,IC,1,C3,3,289352.0,14350.9
0.7-2009,v0.7,KWS,3,C5,5,97646.0,4635.68
0.7-2009,v0.7,AD,3,C5,5,9665.0,431.21
0.7-2009,v0.7,VWW,3,C5,5,254647.0,12293.3
0.7-2009,v0.7,IC,3,C5,5,252780.0,12298.3
0.7-2010,v0.7,KWS,3,C5,5,54812.0,1482.4
0.7-2010,v0.7,AD,3,C5,5,5728.0,152.56
0.7-2010,v0.7,VWW,3,C5,5,151630.0,4030.97
0.7-2010,v0.7,IC,3,C5,5,158127.0,4151.13
0.7-2011,v0.7,KWS,3,C5,5,22290.0,3713.19
0.7-2011,v0.7,AD,3,C5,5,2281.0,349.03
0.7-2011,v0.7,VWW,3,C5,5,64370.00000000001,10487.7
0.7-2011,v0.7,IC,3,C5,5,70363.0,11200.2
0.7-2012,v0.7,KWS,0,C2,2,1800.0,49.587
0.7-2013,v0.7,KWS,0,C2,2,4300.0,35.286
0.7-2014,v0.7,KWS,0,C2,2,63090.0,611.493
0.7-2014,v0.7,AD,0,C2,2,5410.0,45.722
0.7-2014,v0.7,VWW,0,C2,2,186190.0,1721.77
0.7-2014,v0.7,IC,0,C2,2,239980.0,2248.02
1.0-9001,v1.0,KWS,0,C2,2,475.0,26.659
1.0-9001,v1.0,AD,0,C2,2,176.0,7.294
1.0-9001,v1.0,VWW,0,C2,2,1125.0,58.356
1.0-9001,v1.0,IC,0,C2,2,616.0,40.356
1.0-9002,v1.0,KWS,0,C2,2,732.0,18.561
1.0-9002,v1.0,AD,0,C2,2,271.0,5.252
1.0-9002,v1.0,VWW,0,C2,2,1733.0,40.801
1.0-9002,v1.0,IC,0,C2,2,949.0,27.711
1.0-9003,v1.0,KWS,3,C5,5,76100.0,
1.0-9003,v1.0,AD,3,C5,5,6270.0,
1.0-9003,v1.0,VWW,3,C5,5,232000.0,
1.0-9003,v1.0,IC,3,C5,5,316100.0,
1.0-9004,v1.0,KWS,3,C5,5,99800.0,5230.27
1.0-9004,v1.0,AD,3,C5,5,8600.0,443.184
1.0-9004,v1.0,VWW,3,C5,5,301200.0,15531.4
1.0-9004,v1.0,IC,3,C5,5,389500.0,20236.3
1.0-9005,v1.0,KWS,3,C5,5,144000.0,7950.51
1.0-9005,v1.0,AD,3,C5,5,11700.0,633.734
1.0-9005,v1.0,VWW,3,C5,5,336500.0,17131.6
1.0-9005,v1.0,IC,3,C5,5,389200.0,21342.3
1.0-9006,v1.0,KWS,3,C5,5,35400.0,
1.0-9006,v1.0,AD,3,C5,5,4900.0,
1.0-9006,v1.0,VWW,3,C5,5,107000.0,
1.0-9006,v1.0,IC,3,C5,5,107100.0,
1.0-9007,v1.0,KWS,3,C5,5,61400.0,
1.0-9007,v1.0,AD,3,C5,5,6700.0,
1.0-9007,v1.0,VWW,3,C5,5,192500.0,
1.0-9007,v1.0,IC,3,C5,5,193100.0,
1.0-9008,v1.0,KWS,3,C5,5,19100.0,
1.0-9008,v1.0,AD,3,C5,5,2300.0,
